0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
sdg,nwe,-6,-3,4,12,18,-13,-3,4,15,-10,-9,-2,0,0,0,0,0,0,0,0,0,-3,18,-9,15,7,-9,5,15,1,0,0,0,0,0,0,0,0,0,0
den,rai,-3,1,-6,8,3,-3,-10,4,8,-9,-6,1,0,0,0,0,0,0,0,0,-14,-6,12,4,1,8,0,1,-7,-9,-10,15,0,0,0,0,0,0,0,0
gnb,min,-3,0,-10,-7,5,3,-6,-3,11,-16,4,-3,0,0,0,0,0,0,0,0,1,-2,-3,6,1,-13,-13,-9,-14,-9,0,0,0,0,0,0,0,0,0,0
nyg,dal,5,-3,11,-13,-6,-20,-13,6,-9,15,8,-5,0,0,0,0,0,0,0,0,-2,1,4,11,4,-10,-3,4,-16,-10,0,0,0,0,0,0,0,0,0,0
ram,car,-6,-5,-3,-6,-17,21,-3,-20,7,-7,-9,-7,-10,-6,0,0,0,0,0,0,0,-3,-17,0,-9,-7,-16,-3,-16,-3,-5,8,0,0,0,0,0,0,0,0
det,was,-3,5,21,-17,3,5,-13,1,9,12,-9,-4,0,0,0,0,0,0,0,0,-6,-9,1,4,-7,-10,-6,-11,-7,7,4,7,-10,-16,0,0,0,0,0,0
gnb,nyj,5,1,-3,0,-10,-7,5,3,-6,-3,11,-16,4,-3,0,0,0,0,0,0,1,-3,6,-3,15,-9,8,0,5,-9,-14,-13,0,0,0,0,0,0,0,0
jax,dal,-3,19,-20,7,13,3,8,5,-20,5,-10,15,1,-6,0,0,0,0,0,0,12,18,-2,1,4,11,4,-10,-3,4,-16,-10,0,0,0,0,0,0,0,0
mia,cin,-1,0,0,-3,-9,18,0,8,-9,-13,-8,-13,0,0,0,0,0,0,0,0,9,16,-2,1,-3,0,-3,-16,-8,-13,1,15,0,0,0,0,0,0,0,0
den,sfo,-9,36,-3,1,-6,8,3,-3,-10,4,8,-9,-6,1,0,0,0,0,0,0,-3,0,-6,-14,1,4,-9,-7,-13,8,-1,2,-17,8,0,0,0,0,0,0
kan,buf,19,-3,8,12,-14,-4,8,-13,-7,-9,-2,-9,0,0,0,0,0,0,0,0,11,14,3,13,-9,15,7,15,-16,11,-13,-8,0,0,0,0,0,0,0,0
sdg,oti,-3,0,-6,-3,4,12,18,-13,-3,4,15,-10,-9,-2,0,0,0,0,0,0,14,-4,7,-20,11,4,-3,3,6,-13,-12,-4,15,-10,0,0,0,0,0,0
crd,tam,-13,-1,7,-3,-13,18,1,0,-16,18,-6,-10,0,0,0,0,0,0,0,0,-5,-6,-17,8,1,-2,-10,15,-3,-16,-6,-9,0,0,0,0,0,0,0,0
nwe,min,0,-3,0,-3,18,-9,15,7,-9,5,15,1,0,0,0,0,0,0,0,0,1,5,1,-2,-3,6,1,-13,-13,-9,-14,-9,0,0,0,0,0,0,0,0
rai,sea,36,-9,-14,-6,12,4,1,8,0,1,-7,-9,-10,15,0,0,0,0,0,0,-1,-13,0,-3,-20,-3,4,-3,-9,8,8,-17,0,0,0,0,0,0,0,0
pit,nor,0,-1,5,-13,-9,-6,15,-10,-4,-12,-8,-14,0,0,0,0,0,0,0,0,-6,7,8,-17,-3,7,-7,-9,1,4,2,-1,-9,-14,0,0,0,0,0,0
htx,clt,12,8,-13,11,8,1,-10,4,7,4,11,1,0,0,0,0,0,0,0,0,4,1,-4,-14,5,8,4,-10,15,-9,1,11,0,0,0,0,0,0,0,0
atl,tam,16,9,-6,8,-3,-13,-7,-9,4,1,18,-16,-14,-8,0,0,0,0,0,0,15,12,-5,-6,-17,8,1,-2,-10,15,-3,-16,-6,-9,0,0,0,0,0,0
buf,chi,-13,-10,11,14,3,13,-9,15,7,15,-16,11,-13,-8,0,0,0,0,0,0,-9,-6,-3,0,0,-17,-20,-6,-3,-6,4,-3,-4,-9,0,0,0,0,0,0
cle,nwe,7,-6,-13,5,-13,-3,0,-3,-6,1,-9,-7,-9,-6,0,0,0,0,0,0,5,-5,0,-3,0,-3,18,-9,15,7,-9,5,15,1,0,0,0,0,0,0
sdg,htx,10,2,-3,0,-6,-3,4,12,18,-13,-3,4,15,-10,-9,-2,0,0,0,0,-6,7,12,8,-13,11,8,1,-10,4,7,4,11,1,0,0,0,0,0,0
mia,rav,-1,-9,-1,0,0,-3,-9,18,0,8,-9,-13,-8,-13,0,0,0,0,0,0,14,11,-3,0,8,-6,-6,-9,1,-6,-13,-8,-13,-14,0,0,0,0,0,0
nyj,det,-23,-14,1,-3,6,-3,15,-9,8,0,5,-9,-14,-13,0,0,0,0,0,0,14,2,-3,5,21,-17,3,5,-13,1,9,12,-9,-4,0,0,0,0,0,0
car,nor,-13,-3,0,-3,-17,0,-9,-7,-16,-3,-16,-3,-5,8,0,0,0,0,0,0,-3,-13,-6,7,8,-17,-3,7,-7,-9,1,4,2,-1,-9,-14,0,0,0,0
crd,min,12,15,-13,-1,7,-3,-13,18,1,0,-16,18,-6,-10,0,0,0,0,0,0,-5,5,1,5,1,-2,-3,6,1,-13,-13,-9,-14,-9,0,0,0,0,0,0
sea,nyg,-20,10,-1,-13,0,-3,-20,-3,4,-3,-9,8,8,-17,0,0,0,0,0,0,18,12,5,-3,11,-13,-6,-20,-13,6,-9,15,8,-5,0,0,0,0,0,0
kan,rai,-10,-13,19,-3,8,12,-14,-4,8,-13,-7,-9,-2,-9,0,0,0,0,0,0,10,-20,36,-9,-14,-6,12,4,1,8,0,1,-7,-9,-10,15,0,0,0,0
clt,phi,7,-6,4,1,-4,-14,5,8,4,-10,15,-9,1,11,0,0,0,0,0,0,-4,14,8,-6,4,1,-11,-6,5,-20,12,9,-3,4,0,0,0,0,0,0
gnb,dal,-14,-23,5,1,-3,0,-10,-7,5,3,-6,-3,11,-16,4,-3,0,0,0,0,-6,12,12,18,-2,1,4,11,4,-10,-3,4,-16,-10,0,0,0,0,0,0
pit,cin,-13,-3,0,-1,5,-13,-9,-6,15,-10,-4,-12,-8,-14,0,0,0,0,0,0,-9,-1,9,16,-2,1,-3,0,-3,-16,-8,-13,1,15,0,0,0,0,0,0
atl,rav,4,-2,16,9,-6,8,-3,-13,-7,-9,4,1,18,-16,-14,-8,0,0,0,0,3,-13,14,11,-3,0,8,-6,-6,-9,1,-6,-13,-8,-13,-14,0,0,0,0
buf,det,-4,-1,-13,-10,11,14,3,13,-9,15,7,15,-16,11,-13,-8,0,0,0,0,-3,0,14,2,-3,5,21,-17,3,5,-13,1,9,12,-9,-4,0,0,0,0
tam,car,-2,4,15,12,-5,-6,-17,8,1,-2,-10,15,-3,-16,-6,-9,0,0,0,0,-20,11,-13,-3,0,-3,-17,0,-9,-7,-16,-3,-16,-3,-5,8,0,0,0,0
chi,min,-1,-4,-9,-6,-3,0,0,-17,-20,-6,-3,-6,4,-3,-4,-9,0,0,0,0,4,1,-5,5,1,5,1,-2,-3,6,1,-13,-13,-9,-14,-9,0,0,0,0
cin,clt,-2,4,-9,-1,9,16,-2,1,-3,0,-3,-16,-8,-13,1,15,0,0,0,0,1,3,7,-6,4,1,-4,-14,5,8,4,-10,15,-9,1,11,0,0,0,0
nyj,cle,0,-3,-23,-14,1,-3,6,-3,15,-9,8,0,5,-9,-14,-13,0,0,0,0,11,-9,7,-6,-13,5,-13,-3,0,-3,-6,1,-9,-7,-9,-6,0,0,0,0
oti,mia,2,10,14,-4,7,-20,11,4,-3,3,6,-13,-12,-4,15,-10,0,0,0,0,-13,3,-1,-9,-1,0,0,-3,-9,18,0,8,-9,-13,-8,-13,0,0,0,0
jax,htx,12,-6,-3,19,-20,7,13,3,8,5,-20,5,-10,15,1,-6,0,0,0,0,0,6,-6,7,12,8,-13,11,8,1,-10,4,7,4,11,1,0,0,0,0
kan,den,-3,0,-10,-13,19,-3,8,12,-14,-4,8,-13,-7,-9,-2,-9,0,0,0,0,-7,1,-9,36,-3,1,-6,8,3,-3,-10,4,8,-9,-6,1,0,0,0,0
